ลำดับ	เลขทะเบียนเดิม	FID	ชื่อโรงงาน	ประกอบกิจการ	เลขที่	หมู่	ซอย	ถนน	ตำบล	อำเภอ	จังหวัด	ไปรษณีย์	โทรศัพท์	เงินทุน	คนงาน	แรงม้า
1976	น.20(2)-1/2548-นอน.	8.21E+13	บริษัท ไทยดริ้งค์ จำกัด	ผลิตเครื่องดื่มที่ไม่มีแอลกอฮอล์ และขวดภาชนะบรรจุ	700/403	7		บางนา-ตราด กม. 57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	038-447001-5	2400000	30	7889.75
1977	น.53(5)-2/2554-นอน.	8.21E+13	บริษัท เอคโค ออโต้พาร์ท (ไทยแลนด์) จำกัด	ผลิตผลิตภัณฑ์พลาสติกสำหรับยานยนต์	700/670	7		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		468415499	133	3970.68
1978	น.64(12)-3/2554-นอน.	8.21E+13	บริษัท พีซีเอ็ม โพรเซ็สซิ่ง (ประเทศไทย) จำกัด	ตัดและแปรรูปเหล็กแผ่น	700/614	7			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		696230000	67	2939.89
1979	น.77(2)-6/2555-นอน.	8.21E+13	บริษัท เอส อาร์ เอ็น ซาวด์ พรู๊ฟ จำกัด	ผลิตชิ้นส่วนรถยนต์ เพื่อใช้สำหรับดูดซับเสียง	700/403	7		บางนา-ตราด กิโลเมตรที่ 57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		1076530000	53	2140.66
1980	น.2(10)-1/2542-นอน.	8.21E+13	บริษัท ซินเนอร์จี เฮลท์ (ประเทศไทย) จำกัด	ให้บริการฆ่าเชื้อโรคและการปรับเปลี่ยนสารและวัสดุด้วยรังสี	700/465	7	นิคมอุตสาหกรรมบางปะกง	บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	038-458431-3	305721999	19	235.41
1981	น.67(8)-1/2555-นอน.	8.21E+13	บริษัท ฟูจิเซโกะ (ไทยแลนด์) จำกัด	ผลิตเครื่องมือตัดเจาะกลึงทุกทุกชนิดพร้อมทั้งอะไหล่ของผลิตภัณฑ์ดังกล่าว	700/376	6	นิคมอุตสาหกรรมอมตะนคร		ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	038-468-792-4	249319999	28	161.25
1982	น.69-1/2556-ญอน.	7.21E+13	บริษัท บอยด์ เทคโนโลยี (ประเทศไทย) จำกัด	ผลิตชิ้นส่วนหรืออุปกรณ์ที่ใช้กับผลิตภัณฑ์อิเล็กทรอนิกส์ และ HARD DISK DRIVE	700/675 700/677	7			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		650000000	209	254.71
1983	น.53(5)-2/2548-ญอน.	7.21E+13	บริษัท ซันพลัคล์ (ประเทศไทย) จำกัด	ผลิตBREATHABLEFILMCOMPOUND	700/536	6		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	0-3845-4881-2	0	2	553.49
1984	จ3-52(4)-10/60ชบ	2.02E+13	บริษัท ทีเอฟยู ลาเท็กซ์ จำกัด	ผลิตภัณฑ์จากยางพารา ได้แก่ หมอน ที่นอน เป็นต้น	223/20	3			บ้านบึง	บ้านบึง	ชลบุรี	20170	038-111594	11000000	38	1522
1985	จ3-41(2)-28/59ชบ	2.02E+13	บริษัท ไทย ยูว่า อาร์ แอนด์ ดี แมนูแฟคเจอริ่ง จำกัด	ออกแบบและผลิตแม่พิมพ์งานปั้มขึ้นรูปโลหะ	223/14	3			บ้านบึง	บ้านบึง	ชลบุรี	20170	086-5439526	33000000	17	312
1986	จ3-52(4)-32/59ชบ	2.02E+13	บริษัท พารา เพียว ลาเท็กซ์ จำกัด	ผลิตภัณฑ์จากยางพารา ได้แก่ หมอน ที่นอน เป็นต้น	223/25	3			บ้านบึง	บ้านบึง	ชลบุรี	20170		85000000	74	1767.7
1987	3-52(4)-31/59ชบ	1.02E+13	บริษัท ซีเอสเจ รับเบอร์ชีท จำกัด	ผลิตผลิตภัณฑ์ยาง	199/22	3	-	พานทอง-บ้านบึง	บ้านบึง	บ้านบึง	ชลบุรี	20170	038-443985-6	20000000	14	3260.8
1988	จ3-53(5)-85/59ชบ	2.02E+13	บริษัท ชัยสมุทร พลาสติก จำกัด	ผลิตเม็ดพลาสติกเกรดบี	199/14	3		พานทอง-บ้านบึง	บ้านบึง	บ้านบึง	ชลบุรี	20170		3000000	6	580.01
1989	จ3-105-43/51ชบ	2.02E+13	บริษัท ซีเอ็นซี ริยา (ไทยแลนด์) จำกัด	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายตามประกาศกระทรวงอุตสาหกรรมฯพ.ศ.2548 บดย่อยเศษพลาสติก และอัดเศษโลหะ	85/12	2		ชลบุรี-แกลง	บ้านบึง	บ้านบึง	ชลบุรี	20170		50000000	17	63
1990	จ3-64(13)-28/47ชบ	2.02E+13	มานะชัย	ทำท่อไอเสีย	100	1		บ้านบึง-แกลง	บ้านบึง	บ้านบึง	ชลบุรี	20170		850000	5	84
1991	จ3-64(2)-24/56ชบ	2.02E+13	บริษัท จีแมกซ์ ทูล แอนด์ แมนูแฟคเจอริ่ง จำกัด	ผลิตภัณฑ์ปั้มขึ้นรูปโลหะ	148/5	5			บ้านบึง	บ้านบึง	ชลบุรี	20170	038-443200	15500000	35	295
1992	จ3-39-2/55ชบ	2.02E+13	บริษัท จือ เปิ่น อินดัสทรี จำกัด	ผลิตภาชนะบรรจุจากกระดาษ	46/196	3		บ้านบึง-หนองหาน้ำ	บ้านบึง	บ้านบึง	ชลบุรี	20170		33200000	23	133.12
1993	3-53(7)-1/34ชบ	1.02E+13	บริษัท ทีทีเอ็น นันวูเว่น โซลูชั่น จำกัด	ทำพื้นรองเท้า ผ้าซับในรองเท้า	199/7	3		พานทอง-บ้านบึง	บ้านบึง	บ้านบึง	ชลบุรี	20170	443936	32000000	104	7609.69
1994	จ3-77(2)-1/42ชบ	2.02E+13	บริษัท เอ็ม.ซี.ซี.อินดัสเทรียล นิว 1999 จำกัด	ผลิตกันชน และอุปกรณ์ตกแต่งรถยนต์	46/19	3	-	หนองแก-หนองปลาไหล	บ้านบึง	บ้านบึง	ชลบุรี	20170	(038) 443472	10500000	28	294.5
1995	จ3-77(2)-4/62ชบ	2.02E+13	บริษัท ไทย เมวะ จำกัด	ผลิตชิ้นส่วนรถยนต์	94/6	1			บ้านบึง	บ้านบึง	ชลบุรี	20170		5300000	23	100.11
1996	จ3-77(2)-10/62ชบ	2.02E+13	บริษัท ไทยพีพี มินิแฟคทอรี่ จำกัด	ผลิตชิ้นส่วนรถยนต์	94/3	1			บ้านบึง	บ้านบึง	ชลบุรี	20170	085-1559779	11500000	28	270
1997	จ3-53(1)-26/63ชบ	2.02E+13	บริษัท เซอิโกะ เทคโนโลยีพัฒนา จำกัด	ผลิตบรรจุภัณฑ์พลาสติก เช่น ตะกร้าพลาสติก	โฉนดที่ดินเลขที่ 58690	5			บ้านบึง	บ้านบึง	ชลบุรี	20170		25000000	19	406.46
1998	3-39-2/40ชบ	1.02E+13	บริษัท โชคภุชงค์ จำกัด	ผลิตกล่องกระดาษลูกฟูก	127/4	3			บ้านบึง	บ้านบึง	ชลบุรี	20170		10500000	20	3778.83
1999	จ3-62-2/45ชบ	2.02E+13	บริษัท เด็คส์เตอร์ อินดัสทรี จำกัด	ผลิตเครื่องเรือนจากโลหะ	199	5	-	-	บ้านบึง	บ้านบึง	ชลบุรี	20170	038-442100	41780000	175	1115.03
2000	จ3-53(5)-22/59ชบ	2.02E+13	บริษัท ยูราเทค อินดัสทรี จำกัด	ผลิตเม็ดพลาสติก	999/9	1			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		19000000	26	588.67
2001	จ3-3(2)-233/58ชบ	2.02E+13	บริษัท ช.ชำนาญชลบุรีก่อสร้าง จำกัด	ขุดดิน	โฉนดเลขที่25004	7			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		16000000	3	450
2002	จ3-36(1)-1/39ชบ	2.02E+13	นายไพบูลย์ ยงชัยหิรัญ	"ทำพื้นไม้รองรับสินค้า,ด้ามเครื่องมือจากไม้ยางพารา"	511	1			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		17140000	39	114.75
2003	3-34(1)-68/48ชบ	1.02E+13	บริษัท ชโลธร อินเตอร์เนชั่นแนล (2002) จำกัด	แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย อัดน้ำยา อบไม้และพ่นสีเคลือบไม้	113	2	-	-	คลองกิ่ว	บ้านบึง	ชลบุรี	20220	038-449987	17000000	446	2596
2004	3-64(10)-1/45ชบ	1.02E+13	บริษัท เฟิสท์ ฉื่อ จิ้น ฮั้ว จำกัด	ผลิตเสาไฟฟ้าและโครงสร้างเหล็ก ทั้งชนิดชุบสังกะสีและทาสี รวมทั้งอุปกรณ์ไฟฟ้า โคมไฟฟ้า เหล็กกั้นถนน และโครงสร้างอื่น ๆ	234/3			บ้านบึง-บ้านค่าย	คลองกิ่ว	บ้านบึง	ชลบุรี	20220	038-742575	0	105	2203.9
2005	3-3(2)-40/57ชบ	1.02E+13	บริษัท นครหลวงคอนกรีต จำกัด	ขุดดินหรือทรายในที่ดินกรรมสิทธิ์ และร่อนหรือคัดขนาดทราย	"โฉนดเลขที่ 11910, 11911"	4			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		60000000	32	4130
2006	จ3-3(2)-147/56ชบ	2.02E+13	นางรุ่งทิวา คงคำ	ขุดดิน ร่อน คัดทราย	โฉนดที่ดินเลขที่ 26138	6			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		11050000	8	295
2007	3-105-8/46ชบ	1.02E+13	แฮนด์ลิตา เอ็นจิเนียริ่ง	คัดแยกเศษวัสดุที่ไม่ใช้แล้ว	113	2	-	-	คลองกิ่ว	บ้านบึง	ชลบุรี	20220	038-263478	11500000	14	97
2008	จ3-53(1)-84/61ชบ	2.02E+13	บริษัท ธนะทรัพย์พลาสติก รีไซเคิล จำกัด	ผลิตผลิตภัณฑ์พลาสติก เช่น กล่องพลาสติก เม็ดพลาสติก และล้าง บดย่อยพลาสติก	โฉนดที่ดินเลขที่ 32005	6			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		36000000	20	410.5
2009	จ3-53(5)-91/61ชบ	2.02E+13	บริษัท อิฟง จำกัด	ผลิตเม็ดพลาสติก	โฉนดที่ดินเลขที่ 15375	7			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		70000000	40	495.48
2010	จ3-64(2)-19/63ชบ	2.02E+13	บริษัท สยาม ยูเนี่ยน แมนูแฟคเตอริ่ง จำกัด	ปั๊มขึ้นรูปโลหะ การกลึงโลหะ การทำสลักเป็นเกลียว	789	7			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		108000000	38	47350
2011	จ3-53(5)-137/61ชบ	2.02E+13	บริษัท ไทย ซินเทซ่า จำกัด	ทำเม็ดพลาสติก และบดย่อยพลาสติก	โฉนดที่ดินเลขที่ 8015	7			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		31000000	20	400
2012	จ3-58(1)-195/63ชบ	2.02E+13	บริษัท บางแสนมหานคร ผลิตภัณฑ์คอนกรีต จำกัด	คอนกรีตผสมเสร็จ	125/31	6			คลองกิ่ว	บ้านบึง	ชลบุรี	20220	038-389201-5	17114400	14	265
2013	3-106-2/64ชบ	1.02E+13	บริษัท ซิน อี้ ไท่ อินดัสเตรียล เทรด จำกัด	ทำผลิตภัณฑ์จากเศษรถยนต์ที่ใช้แล้ว เช่น ล้อรถเข็น ล้อรถโฟล์คลิฟท์ ยางแผ่น	66	6			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		111000000	126	6198.04
2014	3-53(1)-1/43ชบ	1.02E+13	บริษัท แสงรุ่ง กรุ๊ป จำกัด	ผลิตเครื่องใช้พลาสติก เช่น ถังน้ำ กระติกใส่น้ำ แกลลอน ตะกร้า	888/8	1		บ้านบึง	คลองกิ่ว	บ้านบึง	ชลบุรี	20220	038-158851-2	175000000	330	11151.3
2015	3-72-1/36ชบ	1.02E+13	บริษัท ชินเฮือง จำกัด	"ผลิตชิ้นส่วนโลหะสำหรับผลิตภัณฑ์อิเล็คทรอนิกส์ ปริมาณการผลิตปีละ 7,815,000 ชิ้น"	78/1	5		ชลบุรี-บ้านบึง	หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170	038-444030-4	126883212	394	5169.68
2016	จ3-71-18/60ชบ	2.02E+13	บริษัท วาซิน เมทัล จำกัด	ผลิตชิ้นส่วนสำหรับเครื่องใช้ไฟฟ้าจากโลหะ เช่น ชิ้นส่วนเครื่องซักผ้า ชิ้นส่วนเครื่องปรับอากาศ เป็นต้น	14-ก.พ.	1			หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170		56000000	90	200.72
2017	จ3-71-26/58ชบ	2.02E+13	บริษัท วาซิน อโนไดซ์ จำกัด	ผลิตชิ้นส่วนสำหรับเครื่องใช้ไฟฟ้าจากโลหะ เช่น ชิ้นส่วนเครื่องซักผ้า ชิ้นส่วนเครื่องปรับอากาศ เป็นต้น	14-ก.พ.	1			หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170	038-161196-7	30000000	40	485
2018	3-77(2)-24/50ชบ	1.02E+13	บริษัท แอปโก ออโต้บอดี้ แอนด์ ดายส์ จำกัด	ผลิตชิ้นส่วนรถยนต์ รถจักรยานยนต์ และแม่พิมพ์	38/4	3	-	-	หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170	038-476671-2	184700000	54	569.8
2019	3-105-2/56ชบ	1.02E+13	บริษัท เอ็ม.เอ็ม.สตีล จำกัด	คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย 	55	4	-	-	หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170		4500000	10	595
2020	จ3-36(1)-44/51ชบ	2.02E+13	บริษัท แอดวานซ์ พาเลท (2009) จำกัด	"ลังไม้,พาเลทไม้"	4-มิ.ย.	3	-	-	หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170	"038-151639 , 089 8099055"	90000000	24	2825.85
2021	จ3-64(12)-36/56ชบ	2.02E+13	บริษัท หย่งหลุงเอ็นเตอร์ไพรส์ จำกัด	ตัดเหล็ก	25-ก.พ.	1		ชลบุรี-บ้านบึง	หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170	081-5596275	53000000	15	227.5
2022	จ3-64(13)-11/55ชบ	2.02E+13	บริษัท ทีเคซี เอ็นจิเนียริ่ง เซอร์วิส จำกัด	กลึง ไส เชื่อมโลหะ และผลิตแม่พิมพ์	4-ธ.ค.	1			หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170		19000000	10	97.5
2023	จ3-53(4)-3/45ชบ	2.02E+13	บริษัท เค.เอ็ม.ซี.แพ็คโปรดักส์ จำกัด	ผลิตถุงพลาสติก	6-มี.ค.	4	-	-	หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170		19100000	36	224
2024	จ3-41(2)-10/62ชบ	2.02E+13	บริษัท นารา โซลูชั่น จำกัด	ทำแม่พิมพ์โลหะ	โฉนดที่ดินเลขที่ 40089	4			หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170	033-640569	4000000	4	127.4
2025	จ3-53(1)-9/63ชบ	2.02E+13	บริษัท เครเนอร์ อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด	ผลิต ผลิตภัณฑ์พลาสติก เช่น อ่างอาบน้ำและเครื่องสุขภัณฑ์อื่นๆ	"โฉนดที่ดินเลขที่ 3278,3513,24629"	1			หนองซ้ำซาก	บ้านบึง	ชลบุรี	20170		95500000	50	118.74
2026	3-59-10/58ชบ	1.02E+13	บริษัท สยาม พรีสเตรสเซด แมททีเรียล จำกัด	ผลิตเหล็กเส้นสำหรับคอนกรีตอัดแรงและลวดเหล็กชนิดอื่นๆ	289	10			หนองเหียง	พนัสนิคม	ชลบุรี	20140	088-5299699	260000000	7	4326
2027	จ3-53(5)-43/58ชบ	2.02E+13	บริษัท ยุ่นซี พลาสติก จำกัด	ทำเม็ดพลาสติกจากพลาสติกใช้แล้ว และบดย่อยพลาสติก	99/8	16			หนองเหียง	พนัสนิคม	ชลบุรี	20140	061-4582846	75000000	16	480.22
2028	3-59-7/58ชบ	1.02E+13	บริษัท เอ็มไพร์ เฟอร์เนซ อินดัสทรี จำกัด	การหลอมหล่อและรีดเหล็กรูปพรรณและเหล็กแผ่น	177	16		ฉะเชิงเทรา-สัตหีบ	หนองเหียง	พนัสนิคม	ชลบุรี	20140		257416562	102	72337.62
2029	จ3-54-1/44ชบ	2.02E+13	บริษัท วิชั่น กลาส แอนด์ ดอร์ อินดัสเทรียล จำกัด	ผลิตแก้วหรือผลิตภัณฑ์แก้ว	17-ม.ค.	16	      -	ฉะเชิงเทรา-สัตหีบ	หนองเหียง	พนัสนิคม	ชลบุรี	20140	038-299313	51000000	79	1213.24
2030	3-106-29/54ชบ	1.02E+13	บริษัท ธง ไฮ่ เทรดดิ้ง จำกัด	สกัดโลหะมีค่าจากเศษชิ้นส่วนอิเล็กทรอนิกส์ น้ำยาชุบโลหะ กากตะกอนจากอุตสาหกรรมชุบโลหะและอุตสาหกรรมอิเล็กทรอนิกส์ที่มีองค์ประกอบของโลหะมีค่า	223	8	-	-	หนองเหียง	พนัสนิคม	ชลบุรี	20140		4050000	9	74
2031	จ3-64(14)-5/57ชบ	2.02E+13	บริษัท ซี เอส เอ็น ไอ คอร์ปอเรชั่น จำกัด	ผลิตชิ้นส่วนโลหะ เช่น ชิ้นส่วนเครื่องจักร ชิ้นส่วนอุปกรณ์ลำเลียง ชิ้นส่วนยานยนต์ และชิ้นส่วนอุปกรณ์การเกษตร	49	12			หนองเหียง	พนัสนิคม	ชลบุรี	20140	089-7922612	19400000	15	464.65
2032	จ3-67(7)-13/57ชบ	2.02E+13	บริษัท มหาชัยเชลล์โมลด์ จำกัด	ผลิตทรายเคลือบเรซินสำหรับใช้ทำแบบหล่อโลหะ	234	3			หนองเหียง	พนัสนิคม	ชลบุรี	20140		15500000	13	261.1
2033	จ3-53(5)-32/56ชบ	2.02E+13	ห้างหุ้นส่วนจำกัด บูรพา พลาสติก ชลบุรี (2011)	ผลิตผลิตภัณฑ์พลาสติก เช่น เม็ดพลาสติก	465	12			หนองเหียง	พนัสนิคม	ชลบุรี	20140		4024000	10	156
2034	3-105-87/62ชบ	1.02E+13	บริษัท เอส เอส ซี ออยล์ จำกัด	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	โฉนดที่ดินเลขที่ 31050	16			หนองเหียง	พนัสนิคม	ชลบุรี	20140		10000000	8	100
2035	จ3-3(2)-104/62ชบ	2.02E+13	นายพีระพงศ์ หาญตา	ขุดดิน ร่อน คัดขนาดทราย	โฉนดที่ดินเลขที่ 6113	2			บ้านช้าง	พนัสนิคม	ชลบุรี	20140	081-6164935	8600000	5	424
2036	น.64(5)-1/2544-ญปท.	7.22E+13	บริษัท นิชิกุระ (ประเทศไทย) จำกัด	"เกี่ยวกับเส้นใยโลหะและใยแก้ว (STAINLESS WOOL,GLASS WOOL) และผลิตภัณฑ์ที่ทำจากเส้นใยแก้วทุกชนิด เช่น CERAMIC BLOCK ผนัง ฝ้า ฉนวนกันความร้อน ฯลฯ"	789/17	1	นิคมอุตสาหกรรมปิ่นทอง	สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110		44500000	28	435.5
2037	น.64(12)-3/2543-ญปท.	7.22E+13	บริษัท ซูมิโช เมทัล (ประเทศไทย) จำกัด	ตัดเหล็กและโลหะอื่นๆและกลึงเจาะกัดคว้านไสหรือเชื่อมโลหะทั่วไป	789/2	1	-	สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110		535240501	0	2026.2
2038	3-106-32/47ชบ	1.02E+13	บริษัท กรีนเวิลด์ เซอร์วิส จำกัด	ซ่อมตู้คอนเทนเนอร์ และล้างถังบรรจุเคมีภัณฑ์	325/4	3	-	-	หนองขาม	ศรีราชา	ชลบุรี	20110		3800000	17	546
2039	จ3-29-1/46ชบ	2.02E+13	บริษัท ภวินท์ เลทเธอร์ จำกัด	ฟอกหนังปลากระเบน	149/1	1		ไร่กล้วย	หนองขาม	ศรีราชา	ชลบุรี	20110		7500000	14	94
2040	น.65-1/2558-นปฉ.	8.23E+13	บริษัท ยามาโตะ ฟิลเตอร์ (ไทยแลนด์) จำกัด	"ออกแบบและผลิตชุดประกอบกรองอากาศ,อุปกรณ์กรองน้ำมัน,ไส้กรองและชิ้นส่วนอื่นๆที่เกี่ยวข้องและเป็นส่วนประกอบของกรองอากาศและกรองน้ำมันทุกชนิด"	150/63	9	-	-	หนองขาม	ศรีราชา	ชลบุรี	20110	033-047211-2	211580000	28	784.88
2041	จ3-53(1)-79/60ชบ	2.02E+13	บริษัท 687 พลาสติก แอนด์ โมลด์ จำกัด	ทำผลิตภัณฑ์พลาสติก เช่น ชิ้นส่วนอุปกรณ์เครื่องจักรและเครื่องใช้ไฟฟ้า	687/2	1			หนองขาม	ศรีราชา	ชลบุรี	20110	038-340239	30000000	34	290.5
2042	จ3-53(1)-58/57ชบ	2.02E+13	บริษัท เพอร์เฟค พลาสติก อินเจคชั่น จำกัด	ฉีดพลาสติกและขึ้นรูปพลาสติกทุกชนิด	92/9	10			หนองขาม	ศรีราชา	ชลบุรี	20110	080-0911123	12000000	6	144.3
2043	3-105-35/59ชบ	1.02E+13	บริษัท สินสวัสดิ์ เมทัล จำกัด	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	349/4	3			หนองขาม	ศรีราชา	ชลบุรี	20110	38348125	29000000	18	327
2044	น.67(8)-1/2557-นปท.	8.22E+13	บริษัท โตไก โคเกียว เซกิ (ประเทศไทย) จำกัด	คิดค้นผลิตจำหน่ายออกแบบเครื่องจักรอันมีลักษณะเฉพาะทางและเครื่องจักรที่ใช้ในการผลิตชิ้นส่วนยานยนต์และอุปกรณ์ส่วนประกอบเครื่องจักร	789	1	-	สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110	-	0	0	85.74
2045	น.77(2)-1/2558-ญปท.	7.22E+13	บริษัท มุโรโอคะ (ประเทศไทย) จำกัด	ผลิตและประกอบท่อแอร์สำหรับอุตสาหกรรมยานยนต์				สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110		4700000	4	175.16
2046	จ3-77(1)-4/60ชบ	2.02E+13	บริษัท ช ทวี จำกัด (มหาชน)	การผลิต การให้บริการบำรุงรักษา และบริการหลังการขาย รถพ่วง รถกึ่งพ่วง รถบรรทุก รถบัส รถไฟ รถดับเพลิง รถกู้ภัย รถบันไดกู้ภัย รถสนับสนุนการบิน รถโม่ปูน งานโครงสร้าง แผ่นสกิน ผนังแผ่นแซนวิส ตุ้ห้องเย็น ตู้แห้ง และรถตู้เย็น	37/30	1			หนองขาม	ศรีราชา	ชลบุรี	20110	033-005131-2	977806061	82	145
2047	จ3-3(2)-402/57ชบ	2.02E+13	นายสุรศักดิ์ จงเกื้อตระกูล	ขุดดิน ร่อน คัดขนาดทราย	น.ส.3 เลขที่ 129	6			หนองขาม	ศรีราชา	ชลบุรี	20110	081-3400733	15000000	5	485
2048	จ3-23(4)-2/59ชบ	2.02E+13	บริษัท ทีพีซีนิค จำกัด	"ผลิตผ้าจากใยสังเคราะห์ การประดิษฐ์สิ่งของเครื่องใช้เครื่องเขียนด้วยกระดาษ, นำแผ่นเส้นใยมาฉาบผิวหน้าด้วยวิธีการประกบ"	624/5-8	11		สุขาภิบาล 8	หนองขาม	ศรีราชา	ชลบุรี	20110	038-480004	18437400	71	77.17
2049	3-100(1)-1/38ชบ	1.02E+13	บริษัท ไทยคิวบิค เทคโนโลยี่ จำกัด	"รับพิมพ์ลายและเคลือบผิววัสดุ จำนวน 248,000 ชิ้น/ปี"	620/2	11		สุขาภิบาล 8	หนองขาม	ศรีราชา	ชลบุรี	20110	481236_7	49500000	304	575.36
2050	จ3-39-42/48ชบ	2.02E+13	บริษัท ทีดับเบิ้ลยู แพ็คเกจจิ้ง จำกัด	ผลิตกล่องกระดาษแข็ง และแผ่นรองรับสินค้าด้วยกระดาษ	99/24	10			หนองขาม	ศรีราชา	ชลบุรี	20110		65000000	122	107
2051	3-47(3)-1/28ชบ	1.02E+13	บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน)	"ทำเครื่องสำอาง และแชมพู ชุดเครื่องสำอางค์กับผลิตภัณฑ์อื่นๆ จัดชุดหรือประกอบผลิตภัณฑ์ชุดเซ็ทต่างๆ และหรือทำการประกอบชิ้นส่วนเป็นผลิตภัณฑ์ต่างๆ, ทำยาสีฟัน, การผลิตที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์หรือสัตว์ (เครื่องมือแพทย์), การทำยาขัดเครื่องเรือนหรือโลหะ ขี้ผึ้ง หรือวัสดุสำหรับตบแต่งอาคาร (ผลิตภัณฑ์ทำความสะอาด), การทำยาฆ่าเชื้อโรคหรือยาดับกลิ่น (ผลิตภัณฑ์ฆ่าเชื้อและดับกลิ่น), การทำหัวน้ำมันหอมระเหย (Essential oils) (ผลิตภัณฑ์กลุ่มน้ำมันหอมระเหย)"	600/4	11		สุขาภิบาล 8	หนองขาม	ศรีราชา	ชลบุรี	20110	038-480086	150000000	143	2306.13
2052	น.69-6/2549-ญปท.	7.22E+13	บริษัท เอสซี วาโด จำกัด	ผลิตชิ้นส่วนอิเล็กทรอนิกส์และชิ้นส่วนยานยนต์	789/112-113	1			หนองขาม	ศรีราชา	ชลบุรี	20110		244560000	605	10232.52
2053	น.60-1/2548-นปท.	8.22E+13	บริษัท โอ.เอ็ม.แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด	ผลิตดีบุก ตะกั่ว อลูมิเนียม ทองแดง เงิน โลหะ ที่ไม่มีเหล็กผสม และโลหะบริสุทธิ์ โลหะผสมเป็นลิ่ม ลวด แท่ง และรูปร่างต่าง ๆ	789/101 นิคมอุตสาหกรรมปิ่นทอง	1		สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110		0	29	58.6
2054	จ3-39-16/49ชบ	2.02E+13	บริษัท ไทย อันเป่า ผลิตภัณฑ์กระดาษ จำกัด	ผลิตบรรจุภัณฑ์เพื่อใช้บรรจุอาหารกึ่งสำเร็จรูป	601	11		สุขาภิบาล 8	หนองขาม	ศรีราชา	ชลบุรี	20110	038-480502	127000000	72	937.12
2055	น.100(6)-1/2548-นปท.	8.22E+13	บริษัท วาตานาเบ้ ฮีททรีทเม้นท์ จำกัด		789/100 นิคมอุตสาหกรรมปิ่นทอง	1		สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110		0	50	1011
2056	น.61-1/2551-นปฉ.	8.23E+13	บริษัท เค.ดี.ฮีท เทคโนโลยี (ประเทศไทย) จำกัด	รับจ้างชุบแข็งโลหะ	150/54	9	-	สายหนองค้อ-แหลมฉบัง	หนองขาม	ศรีราชา	ชลบุรี	20110	038-347176-7	112550000	27	348
